"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Clublounge_Used_H","Spa_Used_H","Likelihood_Recommend_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Country_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"11","CONVENTION",1361,"KING","2014-12-01",1,1,"BUSINESS",149,0,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",149,"Female","46-55","","",9,9,9,10,9,9,9,10,9,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"12","TRANSIENT",1367,"QUEN","2014-12-01",1,1,"BUSINESS",100,15,"CONFRM","TRANSIENT","","","Future",100,"Male","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","GDS","Promoter"
"13","TRANSIENT",1073,"QUEN","2014-12-01",1,1,"BUSINESS",189,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",189,"Female","46-55","","",10,9,10,9,9,9,NA,9,10,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"14","TRANSIENT",327,"ADKS","2014-12-01",1,1,"BUSINESS",144,30,"CONFRM","TRANSIENT","","","Future",144,"Male","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","GDS","Promoter"
"15","TRANSIENT",1057,"KING","2014-12-01",1,1,"BUSINESS",71.92,5.61,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",81,"Male","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","GDS","Promoter"
"16","TRANSIENT",347,"DLXK","2014-12-01",1,2,"BUSINESS",239.97,148.94,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",80,"Female","66-75","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"17","CONVENTION",432,"RM2Q","2014-12-01",1,1,"BUSINESS",229,14.84,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",229,"Female","56-65","","No",10,10,10,10,10,10,NA,10,9,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"18","CONVENTION",833,"KING","2014-12-01",1,1,"BUSINESS",214,63.5,"CONFRM","CONVENTION","UNITED STATES","","Future",214,"Male","56-65","","",10,9,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"19","CONVENTION",631,"RM2Q","2014-12-01",1,1,"BUSINESS",214,0,"CONFRM","CONVENTION","UNITED STATES","Platinum","Future",214,"Male","56-65","","No",7,9,8,9,NA,8,7,9,7,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Passive"
"20","CONVENTION",507,"RM2Q","2014-12-01",1,1,"BUSINESS",214,4.94,"CONFRM","CONVENTION","UNITED STATES","","Future",214,"Female","66-75","","No",9,9,9,9,9,10,9,10,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"21","CONVENTION",429,"KING","2014-12-01",1,1,"BUSINESS",229,0,"CONFRM","CONVENTION","UNITED STATES","Platinum","Future",229,"Female","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"22","CONVENTION",414,"KING","2014-12-01",1,1,"BUSINESS",229,0,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",229,"Male","56-65","","No",10,10,10,10,10,10,10,10,10,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"23","CONVENTION",721,"KING","2014-12-01",1,1,"BUSINESS",229,0,"CONFRM","CONVENTION","UNITED STATES","Platinum","Future",229,"Female","56-65","","No",10,10,10,10,10,9,7,10,9,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"24","CONVENTION",227,"KING","2014-12-01",1,1,"BUSINESS",229,13,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",229,"Female","56-65","","No",9,9,9,9,10,9,9,9,9,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"25","CONVENTION",133,"KING","2014-12-01",1,1,"BUSINESS",229,0,"CONFRM","CONVENTION","UNITED STATES","","Future",229,"Male","56-65","","No",10,10,10,10,10,8,7,10,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"26","TRANSIENT",647,"DLXK","2014-12-01",1,2,"BUSINESS",275.1,92.68,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",275.1,"Male","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"27","CONVENTION",714,"KING","2014-12-01",1,1,"BUSINESS",229,0,"CONFRM","CONVENTION","UNITED STATES","","Future",229,"Female","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"28","CONVENTION",825,"BUSK","2014-12-01",1,1,"BUSINESS",225,0,"CONFRM","CONVENTION","UNITED STATES","","Future",225,"Male","66-75","","No",8,8,8,8,8,8,NA,8,8,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Passive"
"29","TRANSIENT",208,"EXST","2014-12-01",1,1,"BUSINESS",230.97,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",80,"Male","46-55","","",9,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"30","TRANSIENT",1721,"DLXK","2014-12-01",1,1,"BUSINESS",129,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",129,"Male","56-65","No","",10,10,10,9,NA,10,6,10,10,"Richardson","Texas","United States",49,"Hyatt Regency","Regency Club",342,18,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","Y","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"31","TRANSIENT",2115,"VWKG","2014-12-01",1,2,"BUSINESS",85.49,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",99,"Male","46-55","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Promoter"
"32","TRANSIENT",414,"DLXN","2014-12-01",1,1,"BUSINESS",139,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",139,"Male","56-65","","",10,10,10,10,10,10,10,10,10,"Dallas","Texas","United States",55,"Hyatt House","",155,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"33","TRANSIENT",216,"DLXN","2014-12-01",1,1,"BUSINESS",159,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",159,"Male","46-55","","",1,5,1,1,NA,9,NA,1,NA,"Dallas","Texas","United States",51,"Hyatt House","",142,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Detractor"
"34","TRANSIENT",229,"KING","2014-12-01",1,1,"BUSINESS",104,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",104,"Male","56-65","","",9,9,9,9,10,10,4,10,7,"Garland","Texas","United States",63,"Hyatt Place","",153,6,"No","Franchised","N","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Hotel","Promoter"
"35","TRANSIENT",522,"KING","2014-12-01",1,1,"BUSINESS",89,0,"CONFRM","TRANSIENT","","","Future",89,"Male","46-55","","",8,8,8,7,8,7,7,5,8,"Arlington","Texas","United States",52,"Hyatt Place","",127,6,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","Y","N","Y","N","N","N","Y","Y","N","N","N","","","N","GDS","Passive"
"36","TRANSIENT",303,"KING","2014-12-01",1,1,"BUSINESS",119,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",119,"Female","26-35","","",10,10,NA,10,10,NA,NA,NA,NA,"Grapevine","Texas","United States",66,"Hyatt Place","",124,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"37","TRANSIENT",201,"KING","2014-12-01",1,1,"BUSINESS",119,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",119,"Female","36-45","","",10,7,9,10,10,10,NA,10,9,"Grapevine","Texas","United States",66,"Hyatt Place","",124,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"38","TRANSIENT",524,"KING","2014-12-01",1,1,"BUSINESS",125.4,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",125.4,"Female","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",59,"Hyatt Place","",123,6,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"39","TRANSIENT",511,"KING","2014-12-02",2,1,"BUSINESS",204,0,"CANCEL","TRANSIENT","UNITED STATES","Platinum","Future",204,"Male","46-55","","",7,10,10,9,8,8,9,6,NA,"Irving","Texas","United States",58,"Hyatt Place","",122,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","GDS","Passive"
"40","TRANSIENT",2808,"KING","2014-12-01",1,1,"BUSINESS",299,46.34,"CONFRM","TRANSIENT","UNITED STATES","","Future",299,"Male","46-55","","",10,10,10,10,10,10,10,10,10,"Houston","Texas","United States",45,"Hyatt Regency","",984,30,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"41","TRANSIENT",2814,"KING","2014-12-01",1,1,"BUSINESS",83,65.63,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",60,"Male","66-75","","",10,10,NA,10,10,NA,NA,NA,NA,"Houston","Texas","United States",45,"Hyatt Regency","",984,30,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Global Contact Center","Promoter"
"42","TRANSIENT",921,"KING","2014-12-01",1,1,"BUSINESS",299,24.45,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",299,"Female","66-75","","",7,8,9,9,9,8,NA,9,8,"Houston","Texas","United States",45,"Hyatt Regency","",984,30,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","GDS","Passive"
"43","TRANSIENT",125,"KING","2014-12-01",1,1,"BUSINESS",206,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",206,"Male","46-55","","",10,10,NA,10,10,NA,NA,NA,NA,"The Woodlands","Texas","United States",NA,"Hyatt Place","",146,5,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Digital Channels","Promoter"
"44","TRANSIENT",3101,"HLCS","2014-12-01",1,1,"BUSINESS",273.79,81.75,"CONFRM","TRANSIENT","UNITED STATES","","Past",189,"Male","56-65","No","No",10,10,10,10,10,10,8,10,10,"San Antonio","Texas","United States",60,"Hyatt Regency","Regency Club",500,4,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","Y","Y","Y","Y","N","N","Y","","Y","Y","Y","Digital Channels","Promoter"
"45","TRANSIENT",1158,"HOSP","2014-12-01",1,1,"BUSINESS",115,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",115,"Female","56-65","Yes","",10,10,10,10,10,10,10,10,NA,"San Antonio","Texas","United States",55,"Grand Hyatt","Grand Club",1003,24,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","Y","Y","N","N","Y","N","","","Y","Global Contact Center","Promoter"
"46","TRANSIENT",2352,"CLBK","2014-12-01",1,1,"LEISURE",165,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",165,"Female","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"San Antonio","Texas","United States",55,"Grand Hyatt","Grand Club",1003,24,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","Y","Y","N","N","Y","N","","","Y","Digital Channels","Promoter"
"47","TRANSIENT",974,"DDBL","2014-12-01",1,2,"BUSINESS",194.65,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",194.65,"Male","56-65","","No",10,9,10,10,10,10,NA,10,10,"San Antonio","Texas","United States",58,"Hyatt Regency","",632,11,"No","Owned","N","","N","","N","N","Y","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Global Contact Center","Promoter"
"48","TRANSIENT",1152,"VW2K","2014-12-01",1,2,"BUSINESS",169.11,14,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",188.1,"Male","56-65","","",8,6,NA,9,10,NA,NA,NA,NA,"San Antonio","Texas","United States",58,"Hyatt Regency","",632,11,"No","Owned","N","","N","","N","N","Y","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Passive"
"49","TRANSIENT",304,"KING","2014-12-01",1,2,"BUSINESS",125,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",125,"Male","56-65","","",8,1,9,9,10,5,10,9,9,"San Antonio","Texas","United States",58,"Hyatt Place","",131,7,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","N","N","","","N","Global Contact Center","Passive"
"50","TRANSIENT",306,"KING","2014-12-01",1,1,"BUSINESS",109,0,"CONFRM","TRANSIENT","","","Past",109,"Male","46-55","","",7,9,9,9,7,7,NA,8,8,"San Antonio","Texas","United States",71,"Hyatt Place","",126,6,"No","Franchised","Y","N","N","Y","N","N","N","N","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","Y","N","","","N","GDS","Passive"
"51","TRANSIENT",126,"KING","2014-12-01",1,1,"BUSINESS",129,0,"CONFRM","TRANSIENT","","","Future",129,"Female","46-55","","",10,10,10,10,10,10,NA,10,6,"San Antonio","Texas","United States",71,"Hyatt Place","",126,6,"No","Franchised","Y","N","N","Y","N","N","N","N","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","Y","N","","","N","GDS","Promoter"
"52","CONVENTION",441,"1BED","2014-12-01",2,1,"BUSINESS",478,0,"CONFRM","CONVENTION","UNITED STATES","","Future",478,"Male","56-65","","",10,10,10,10,10,10,10,10,9,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"53","TRANSIENT",607,"QNQN","2014-12-01",2,2,"BUSINESS",438,25,"CONFRM","TRANSIENT","","","Future",438,"Female","56-65","","",4,2,NA,4,10,NA,NA,NA,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Internet","Detractor"
"54","CONVENTION",707,"QNQN","2014-12-01",2,2,"BUSINESS",458,12,"CANCEL","CONVENTION","UNITED STATES","","Past",458,"Female","46-55","","",9,9,NA,9,9,NA,NA,NA,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"55","TRANSIENT",805,"QNQN","2014-12-01",2,2,"BUSINESS",358.2,27,"CONFRM","TRANSIENT","UNITED STATES","","Past",358.2,"Female","76+","","",10,10,10,10,10,10,10,10,10,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Global Contact Center","Promoter"
"56","TRANSIENT",1006,"1VWK","2014-12-01",2,2,"BUSINESS",598,30,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",598,"Male","66-75","","",10,8,NA,10,10,NA,NA,NA,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Hotel","Promoter"
"57","TRANSIENT",1003,"1VWQ","2014-12-02",1,1,"BUSINESS",289,14,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",578,"Male","36-45","","",10,10,10,10,10,10,10,10,10,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","GDS","Promoter"
"58","TRANSIENT",538,"1BED","2014-12-02",1,1,"BUSINESS",207.2,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",207.2,"Female","46-55","","",10,10,NA,9,10,NA,NA,NA,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Internet","Promoter"
