"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Clublounge_Used_H","Spa_Used_H","Likelihood_Recommend_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Country_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1","TRANSIENT",606,"1BED","2014-12-01",1,2,"BUSINESS",154.98,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",154.98,"Male","26-35","","",10,10,NA,10,10,NA,NA,NA,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Internet","Promoter"
"2","TRANSIENT",1004,"1VWK","2014-12-01",1,2,"BUSINESS",195.98,6.5,"CONFRM","TRANSIENT","UNITED STATES","","Future",195.98,"Male","56-65","","",10,10,10,10,10,10,10,10,10,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Internet","Promoter"
"3","TRANSIENT",810,"1BED","2014-12-01",1,1,"BUSINESS",179.1,39.07,"CONFRM","TRANSIENT","","","Future",179.1,"Female","56-65","","",8,8,10,8,8,8,NA,8,8,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","GDS","Passive"
"4","CONVENTION",302,"1BED","2014-12-01",1,1,"BUSINESS",239,0,"CONFRM","CONVENTION","UNITED STATES","Gold","Past",239,"Male","56-65","","",8,8,NA,8,10,NA,NA,NA,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Passive"
"5","TRANSIENT",802,"1VWK","2014-12-01",1,1,"BUSINESS",299,0,"CONFRM","TRANSIENT","","","Future",598,"Female","56-65","","",10,10,10,10,10,10,NA,10,NA,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","GDS","Promoter"
"6","TRANSIENT",704,"1VWK","2014-12-01",1,1,"BUSINESS",229,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",229,"Female","18-25","","",10,9,9,9,10,10,NA,9,9,"Austin","Texas","United States",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"7","TRANSIENT",1730,"KING","2014-12-01",1,1,"BUSINESS",179,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",179,"Male","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"8","TRANSIENT",1532,"KING","2014-12-01",1,1,"BUSINESS",159.2,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",159.2,"Male","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"9","CONVENTION",1169,"BUSN","2014-12-01",1,1,"BUSINESS",219,0,"CONFRM","CONVENTION","UNITED STATES","","Future",219,"Male","46-55","","",4,3,2,7,8,7,NA,6,9,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Hotel","Detractor"
"10","CONVENTION",559,"KING","2014-12-01",1,1,"BUSINESS",149,19,"CONFRM","CONVENTION","UNITED STATES","","Future",149,"Female","56-65","","",10,10,10,10,10,10,10,10,7,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
